,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
sub_0055,10.80484559,1.424459703,1.635500287,3.763713466,3.74177637,3.538886766,3.672867809,1.550606722,8.568350066,8.727955754,1.111981702,14.14035818,10.1377948,5.570907278,15.17955638,11.02396014,6.751660824,1.687400577,7.219417324,5.367465034,0.885083289,3.357726141,3.209051212,0.34620914,0.468149583,0.504252919
sub_0056,10.52945123,1.022446974,1.040470056,3.685974922,4.208647232,3.371758282,3.825714947,1.372506476,10.35429401,8.354221358,0.908373379,12.69661612,8.252626763,5.72988104,13.91691923,9.616717551,7.209240993,2.025050712,9.417550749,7.066342016,0.967010012,3.086602013,3.05866251,0.319817157,0.490117427,0.515349241
sub_0057,10.72513203,1.198660576,1.279878425,4.563814315,4.468751448,3.780349837,4.137308576,1.902411655,9.072612605,9.762788068,1.302376191,13.9916331,7.993331597,7.288629353,14.0124708,8.785485019,7.491266705,2.2743068,8.690537157,8.203413534,1.056320706,4.814710801,4.650373974,0.416238792,0.485192143,0.46887325
sub_0059,10.66944226,1.079739642,1.159551367,3.877767347,4.142000138,4.246521715,4.084637065,1.806631369,9.387419385,9.565139733,0.893936181,12.6654843,8.802942255,7.417376332,13.33780904,9.21643627,7.132616184,2.351100224,9.411941582,9.308255333,0.99441723,3.811320277,3.598582302,0.416464934,0.451262696,0.47085805
sub_0060,9.999739537,1.067728986,1.07700035,3.408806195,4.340728021,3.853893471,3.750883244,1.605314732,9.904728167,9.58370813,0.963478091,13.19826915,7.147397747,5.978566805,13.79407737,7.107995015,7.348259184,1.847928894,7.676142966,6.44242829,0.869817707,2.831628912,3.022853324,0.350928333,0.379571494,0.474555319
sub_0061,11.75909191,1.068388615,1.15409243,4.47254492,3.803844419,3.367771164,3.912828117,1.448301215,9.05338708,9.349945704,1.053765679,11.17577951,7.483051431,7.028241922,11.897795,8.364775412,6.504668549,2.186616293,8.344696328,8.595176168,1.012670879,3.297149002,3.579187939,0.378980895,0.545244721,0.445013309
sub_0062,11.03020089,1.200953609,1.233516183,4.44554748,4.96424232,3.924015219,3.906602314,1.675523068,10.83538925,10.52749004,1.217017353,13.35236318,8.617912241,6.102729161,14.11163303,8.752274434,7.170880234,1.865979058,9.533245681,8.66888778,0.917818777,2.663358405,2.858146227,0.343869031,0.47417697,0.520898388
sub_0063,10.84355016,1.102523919,1.176078299,3.875763692,3.557285357,3.391415438,3.721422224,1.479132227,8.42848606,9.152089549,0.906705563,12.5070481,8.664473248,6.737470666,12.59605198,7.871695732,9.379099429,1.922859605,7.217713339,5.62901757,0.933878911,3.301278237,3.302726587,0.333221595,0.46749664,0.467318348
sub_0064,11.16882471,1.057010915,1.302165062,4.095966973,4.107552713,4.272584779,4.586063322,2.079007151,9.602780099,9.277194592,0.969681688,12.85491122,7.987530782,5.737003809,13.14406987,8.604322862,8.221864414,2.053904587,8.118503136,6.791065473,0.898248888,3.263322652,3.481841528,0.338200504,0.513567563,0.540061675
sub_0065,11.15073277,1.395488065,1.554194838,4.440832233,4.674881276,4.198119118,4.614277104,1.556584349,11.05027998,10.95348735,0.786292794,14.37103297,11.39833532,7.86346875,13.88855914,10.84783883,9.785672809,2.294051917,8.432936593,7.711861715,1.003312584,3.5160556,3.810462245,0.363018872,0.562020698,0.564508165
